Model number,Model size (MB),Quality (surface),Quality (volume),Time per 100k batch (ms),Time per point (ns)
0,0.6528,0.7540,0.9974,0.2491,2.4905
1,0.6528,0.9643,0.9996,0.6667,6.6671
2,0.6528,0.9827,1.0000,0.2627,2.6274
3,0.6528,0.9893,0.9999,0.2311,2.3112
4,0.6528,0.9353,0.9987,0.2223,2.2233
5,0.6528,0.8739,0.9986,0.2430,2.4300
6,0.6528,0.9358,0.9995,0.2400,2.3997
7,0.6528,0.8810,0.9986,0.2286,2.2860
8,0.6528,0.9083,0.9994,0.2674,2.6743
9,0.6528,0.9618,0.9997,0.4379,4.3786
10,0.6528,0.9650,0.9973,0.2372,2.3715
11,0.6528,0.9640,0.9988,0.2558,2.5582
12,0.6528,0.9909,0.9993,0.2528,2.5280
13,0.6528,0.8726,0.9991,0.3159,3.1588
14,0.6528,0.9297,0.9998,0.2682,2.6820
15,0.6528,0.8928,0.9942,0.7244,7.2441
16,0.6528,0.7978,0.9934,0.2861,2.8613
17,0.6528,0.8253,0.9978,0.2896,2.8956
18,0.6528,0.8162,0.9946,0.2689,2.6886
19,0.6528,0.8727,0.9986,0.2423,2.4226
20,0.6528,0.7912,0.9958,0.2608,2.6081
21,0.6528,0.9714,0.9994,0.2275,2.2748
22,0.6528,0.9719,0.9995,0.4230,4.2298
23,0.6528,0.9487,0.9998,0.2962,2.9621
24,0.6528,0.9899,0.9999,0.4770,4.7703
25,0.6528,0.9328,0.9998,0.2613,2.6128
26,0.6528,0.8802,0.9955,0.2267,2.2666
27,0.6528,0.8791,0.9981,0.4410,4.4098
28,0.6528,0.8993,0.9984,0.2778,2.7783
29,0.6528,0.9770,0.9999,0.2293,2.2926
30,0.6528,0.9903,1.0000,0.2702,2.7022
31,0.6528,0.9480,1.0000,0.2266,2.2657
32,0.6528,0.9103,0.9981,0.2534,2.5344
33,0.6528,0.9171,0.9980,0.3168,3.1676
34,0.6528,0.9650,0.9993,0.2610,2.6097
35,0.6528,0.9440,0.9994,0.2383,2.3835
36,0.6528,0.8313,0.9944,0.3200,3.2003
37,0.6528,0.9452,0.9979,0.2345,2.3453
38,0.6528,0.9913,0.9998,0.2424,2.4245
39,0.6528,0.8971,0.9996,0.6469,6.4695
40,0.6528,0.9752,0.9996,0.2316,2.3165
41,0.6528,0.9718,0.9997,0.3040,3.0403
42,0.6528,0.9711,0.9999,0.2764,2.7645
43,0.6528,0.9350,0.9992,0.2841,2.8415
44,0.6528,0.9949,0.9996,0.6924,6.9237
45,0.6528,0.9693,0.9999,0.4688,4.6880
46,0.6528,0.7501,0.9888,0.3378,3.3779
47,0.6528,0.9291,0.9996,0.4868,4.8683
48,0.6528,0.9666,0.9993,0.7237,7.2370
49,0.6528,0.9541,1.0000,0.4488,4.4875
